index,date,latitude,longitude,humidity,vapor_pressure,temperature,precip,solar_radiation,pressure,wind_speed,wind_direction_degree,feels_like,wind_direction,wind_scale,code,text,power
3271,2,37.891586,115.144497,88.09976772836478,8.0786867466667,5.718315000000075,0.0,0.0,1025.7445,0.5090124275,67.18249674218119,4.550292804565341,东东北,1,0,晴,0
3275,3,37.891586,115.144497,89.91924717969773,8.050929612065545,5.374610000000075,0.0,0.0,1025.8991374999998,0.335245445,298.54089154715973,4.236989829503914,西西北,1,0,晴,0
3279,4,37.891586,115.144497,89.33632337988942,8.419492723676228,6.113560000000007,0.0,0.0,1026.1588125,0.387211095,57.68164902774002,5.063718170535383,东东北,1,0,晴,0
3283,5,37.891586,115.144497,91.11250374607876,9.004246472498851,6.801672499999995,0.0,0.0,1026.5628875,0.3429646974999999,327.1268261237458,5.867456625817579,北西北,1,0,晴,0
3287,6,37.891586,115.144497,89.28700951147252,8.821906713679466,6.798485000000028,0.0,0.0,1026.9150175,0.2373829425,290.978203320249,5.9646058598451805,西西北,0,0,晴,0
3291,7,37.891586,115.144497,88.04820645050255,8.813121041687182,6.987282499999992,0.0,0.7482714525,1027.2977725,0.4097732075,35.68128338449881,6.071957107645537,东北,1,0,晴,0
3295,8,37.891586,115.144497,74.43782834932618,7.783394988858374,7.624880000000019,0.0,74.1281063175,1027.8886874999998,0.9098131825,87.34337042169051,6.655551511715574,东,1,0,晴,-472945
3299,9,37.891586,115.144497,61.34216735055102,6.831004237173298,8.550207499999999,0.0,147.615525,1028.561775,1.144772875,90.90711293742346,7.618853624166619,东,1,0,晴,-997657
3303,10,37.891586,115.144497,48.41128278922701,6.160054292118446,10.53281000000004,0.0,270.5301075,1028.303075,1.042330975,120.06118567167576,9.122597898093517,东东南,1,0,晴,-2897451
3307,11,37.891586,115.144497,36.43306490587502,5.298769505332085,12.552170000000046,0.0,441.3991775,1028.0036,1.242441825,146.70407557284648,10.981051239795312,南东南,1,0,晴,-7768510
3311,12,37.891586,115.144497,29.78676631938299,4.766764232006466,14.017067499999996,0.0,399.3413425,1027.329575,1.66821945,146.09925482067433,12.165394523082288,东南,2,0,晴,-8315353
3315,13,37.891586,115.144497,29.707367663586314,4.705702501943806,13.8596,0.0,427.4847875,1026.2616,1.035483825,174.24177195141138,12.396008337511898,南,1,0,晴,-7949762
3319,14,37.891586,115.144497,32.40635075294127,5.166284992065759,13.95845250000002,0.0,427.1312375,1025.2697,1.13247585,219.86566815415887,12.530662358038867,西南,1,0,晴,-9517050
3323,15,37.891586,115.144497,35.66104764427941,5.724770354586225,14.065470000000005,0.0,343.5043875,1024.568725,1.1165536,210.87327735149336,12.766986519799786,南西南,1,0,晴,-7018201
3327,16,37.891586,115.144497,41.076658354086646,6.435198895777766,13.689820000000054,0.0,179.48893750000002,1024.132675,0.8923004,213.8865732265561,12.652657058237391,西南,1,0,晴,-4050073
3331,17,37.891586,115.144497,47.675552422245296,6.629799827683438,11.870955000000038,0.0,39.35356675,1024.0056125,0.67517892,216.08347092776484,10.886680419191588,西南,1,0,晴,-934783
3335,18,37.891586,115.144497,55.95289813285939,6.978009945004722,10.23193500000002,0.0,2.0020472500000004,1023.971425,0.35783729,223.0467349359425,9.408950147898413,西南,1,0,晴,-9458
3339,19,37.891586,115.144497,64.565927820106,7.436303361326753,9.047997500000008,0.0,0.0,1024.2952875,0.13939385375,249.0541035775775,8.706375193208718,西西南,0,0,晴,0
3343,20,37.891586,115.144497,74.58851197317469,7.787417039743613,7.602842500000008,0.0,0.0,1024.526955,0.0403360635,305.63362755081096,7.249768475735769,西北,0,0,晴,0
3347,21,37.891586,115.144497,81.10621411020358,7.978484135861694,6.734627499999988,0.0,0.0,1024.61234,0.13868599575,68.25058840516665,6.08480309794142,东东北,0,0,晴,0
3351,22,37.891586,115.144497,82.26964344106032,7.8593215488710575,6.309720000000027,0.0,0.0,1024.827785,0.1122630655,53.92978368674609,5.626485042242467,东北,0,0,晴,0
3355,23,37.891586,115.144497,83.00531317529286,7.651029847661336,5.792932500000006,0.0,0.0,1024.65103,0.0841678185,269.0749019135457,5.075128693622708,西,0,0,晴,0
3359,0,37.891586,115.144497,83.10746246334092,7.529965273918771,5.545455000000004,0.0,0.0,1024.28166,0.110242385,359.17821414030743,4.760422601848129,北,0,0,晴,0
3363,1,37.891586,115.144497,86.19705312351881,7.433347223554249,4.836412500000051,0.0,0.0,1024.093425,0.146410505,330.04762030031293,3.859269866096082,北西北,0,0,晴,0
3367,2,37.891586,115.144497,87.99355436650457,7.380887879514473,4.440625000000011,0.0,0.0,1023.7498375,0.1594820875,309.13268039856587,3.356342931505479,西北,0,0,晴,0
3371,3,37.891586,115.144497,89.67245212322594,7.271491848120122,3.959137499999997,0.0,0.0,1023.4899625,0.1575967025,298.947841943928,2.768390566239072,西西北,0,0,晴,0
3375,4,37.891586,115.144497,88.44612597419548,7.107827542141837,3.831450000000018,0.0,0.0,1023.20155,0.099290305,270.01490097650566,2.724459128126838,西,0,0,晴,0
3379,5,37.891586,115.144497,89.77568235464777,6.967799737536249,3.3384625000000483,0.0,0.0,1023.03825,0.15303064,223.68675019198065,2.05727221245886,西南,0,0,晴,0
3383,6,37.891586,115.144497,91.4105413999173,6.910088728252391,2.966515000000016,0.0,0.0,1022.906525,0.1166627925,221.659712723564,1.6295276909810428,西南,0,0,晴,0
3387,7,37.891586,115.144497,92.40329860947575,6.912866525431517,2.8201050000000123,0.0,0.990877275,1022.969275,0.11939252,238.2544768929233,1.4285036236719446,西西南,0,0,晴,0
3391,8,37.891586,115.144497,91.8519715089222,7.502065258783186,4.06147500000003,0.0,87.587321175,1023.3527,0.0791341275,0.9527628699118508,2.937576436618976,北,0,0,晴,-722271
3395,9,37.891586,115.144497,83.89733518852243,8.165051335845146,6.57895000000002,0.0,258.77832875,1023.659975,0.1854909,229.5311211276226,5.827114098175519,西南,0,0,晴,-3411479
